Vivado Simulator 2019.1
Time resolution is 1 ps
At time                    0, done_intr_o = x, done_led_o = x, y_buf_en = x, y_buf_wr_en = x, y_buf_addr = xxxxxxxx, y_buf_data = xxxxxxxx
At time              4531000, done_intr_o = 0, done_led_o = 0, y_buf_en = 1, y_buf_wr_en = 1, y_buf_addr = 00000038, y_buf_data = 0000014e
At time              4533000, done_intr_o = 0, done_led_o = 0, y_buf_en = 1, y_buf_wr_en = 1, y_buf_addr = 0000003c, y_buf_data = 00000247
At time              4535000, done_intr_o = 0, done_led_o = 0, y_buf_en = 1, y_buf_wr_en = 1, y_buf_addr = 00000040, y_buf_data = ffffffc9
At time              4537000, done_intr_o = 0, done_led_o = 0, y_buf_en = 1, y_buf_wr_en = 1, y_buf_addr = 00000044, y_buf_data = fffffb5b
At time              4539000, done_intr_o = 0, done_led_o = 0, y_buf_en = 1, y_buf_wr_en = 1, y_buf_addr = 00000048, y_buf_data = ffffff35
At time              4541000, done_intr_o = 0, done_led_o = 0, y_buf_en = 1, y_buf_wr_en = 1, y_buf_addr = 0000004c, y_buf_data = fffffc25
At time              4543000, done_intr_o = 0, done_led_o = 0, y_buf_en = 0, y_buf_wr_en = 0, y_buf_addr = 0000004c, y_buf_data = 00000000
At time              6099000, done_intr_o = 0, done_led_o = 0, y_buf_en = 0, y_buf_wr_en = 0, y_buf_addr = 00000050, y_buf_data = 00000000
At time              6107000, done_intr_o = 0, done_led_o = 0, y_buf_en = 1, y_buf_wr_en = 1, y_buf_addr = 00000050, y_buf_data = 00002b22
At time              6109000, done_intr_o = 0, done_led_o = 0, y_buf_en = 1, y_buf_wr_en = 1, y_buf_addr = 00000054, y_buf_data = ffffffb4
At time              6111000, done_intr_o = 0, done_led_o = 0, y_buf_en = 1, y_buf_wr_en = 1, y_buf_addr = 00000058, y_buf_data = fffffd25
At time              6113000, done_intr_o = 0, done_led_o = 0, y_buf_en = 1, y_buf_wr_en = 1, y_buf_addr = 0000005c, y_buf_data = 0000034e
At time              6115000, done_intr_o = 0, done_led_o = 0, y_buf_en = 1, y_buf_wr_en = 1, y_buf_addr = 00000060, y_buf_data = ffffff0d
At time              6117000, done_intr_o = 0, done_led_o = 0, y_buf_en = 1, y_buf_wr_en = 1, y_buf_addr = 00000064, y_buf_data = 000001fd
At time              6119000, done_intr_o = 0, done_led_o = 0, y_buf_en = 1, y_buf_wr_en = 1, y_buf_addr = 00000068, y_buf_data = 000001e0
At time              6121000, done_intr_o = 0, done_led_o = 0, y_buf_en = 1, y_buf_wr_en = 1, y_buf_addr = 0000006c, y_buf_data = 000000ae
At time              6123000, done_intr_o = 0, done_led_o = 0, y_buf_en = 1, y_buf_wr_en = 1, y_buf_addr = 00000070, y_buf_data = 00000124
At time              6125000, done_intr_o = 0, done_led_o = 0, y_buf_en = 1, y_buf_wr_en = 1, y_buf_addr = 00000074, y_buf_data = 00000045
At time              6127000, done_intr_o = 0, done_led_o = 0, y_buf_en = 0, y_buf_wr_en = 0, y_buf_addr = 00000074, y_buf_data = 00000000
At time              7683000, done_intr_o = 0, done_led_o = 0, y_buf_en = 0, y_buf_wr_en = 0, y_buf_addr = 00000078, y_buf_data = 00000000
At time              7691000, done_intr_o = 0, done_led_o = 0, y_buf_en = 1, y_buf_wr_en = 1, y_buf_addr = 00000078, y_buf_data = fffffcb1
At time              7693000, done_intr_o = 0, done_led_o = 0, y_buf_en = 1, y_buf_wr_en = 1, y_buf_addr = 0000007c, y_buf_data = 00000032
At time              7695000, done_intr_o = 0, done_led_o = 0, y_buf_en = 1, y_buf_wr_en = 1, y_buf_addr = 00000080, y_buf_data = fffffb4c
At time              7697000, done_intr_o = 0, done_led_o = 0, y_buf_en = 1, y_buf_wr_en = 1, y_buf_addr = 00000084, y_buf_data = 00000075
At time              7699000, done_intr_o = 0, done_led_o = 0, y_buf_en = 1, y_buf_wr_en = 1, y_buf_addr = 00000088, y_buf_data = 0000214d
At time              7701000, done_intr_o = 0, done_led_o = 0, y_buf_en = 1, y_buf_wr_en = 1, y_buf_addr = 0000008c, y_buf_data = 00000046
At time              7703000, done_intr_o = 0, done_led_o = 0, y_buf_en = 1, y_buf_wr_en = 1, y_buf_addr = 00000090, y_buf_data = 0000028d
At time              7705000, done_intr_o = 0, done_led_o = 0, y_buf_en = 1, y_buf_wr_en = 1, y_buf_addr = 00000094, y_buf_data = 0000008a
At time              7707000, done_intr_o = 0, done_led_o = 0, y_buf_en = 1, y_buf_wr_en = 1, y_buf_addr = 00000098, y_buf_data = 00000168
At time              7709000, done_intr_o = 0, done_led_o = 0, y_buf_en = 1, y_buf_wr_en = 1, y_buf_addr = 0000009c, y_buf_data = 000001c1
At time              7711000, done_intr_o = 0, done_led_o = 0, y_buf_en = 0, y_buf_wr_en = 0, y_buf_addr = 0000009c, y_buf_data = 00000000
At time              9267000, done_intr_o = 0, done_led_o = 0, y_buf_en = 0, y_buf_wr_en = 0, y_buf_addr = 000000a0, y_buf_data = 00000000
At time              9275000, done_intr_o = 0, done_led_o = 0, y_buf_en = 1, y_buf_wr_en = 1, y_buf_addr = 000000a0, y_buf_data = fffffa54
At time              9277000, done_intr_o = 0, done_led_o = 0, y_buf_en = 1, y_buf_wr_en = 1, y_buf_addr = 000000a4, y_buf_data = 00002269
At time              9279000, done_intr_o = 0, done_led_o = 0, y_buf_en = 1, y_buf_wr_en = 1, y_buf_addr = 000000a8, y_buf_data = 00000027
At time              9281000, done_intr_o = 0, done_led_o = 0, y_buf_en = 1, y_buf_wr_en = 1, y_buf_addr = 000000ac, y_buf_data = 00000aa1
At time              9283000, done_intr_o = 0, done_led_o = 0, y_buf_en = 1, y_buf_wr_en = 1, y_buf_addr = 000000b0, y_buf_data = 00000035
At time              9285000, done_intr_o = 0, done_led_o = 0, y_buf_en = 1, y_buf_wr_en = 1, y_buf_addr = 000000b4, y_buf_data = 00000048
At time              9287000, done_intr_o = 0, done_led_o = 0, y_buf_en = 1, y_buf_wr_en = 1, y_buf_addr = 000000b8, y_buf_data = fffffcff
At time              9289000, done_intr_o = 0, done_led_o = 0, y_buf_en = 1, y_buf_wr_en = 1, y_buf_addr = 000000bc, y_buf_data = fffffb32
At time              9291000, done_intr_o = 0, done_led_o = 0, y_buf_en = 1, y_buf_wr_en = 1, y_buf_addr = 000000c0, y_buf_data = ffffff7b
At time              9293000, done_intr_o = 0, done_led_o = 0, y_buf_en = 1, y_buf_wr_en = 1, y_buf_addr = 000000c4, y_buf_data = fffff76a
At time              9295000, done_intr_o = 0, done_led_o = 0, y_buf_en = 0, y_buf_wr_en = 0, y_buf_addr = 000000c4, y_buf_data = 00000000
At time             10851000, done_intr_o = 0, done_led_o = 0, y_buf_en = 0, y_buf_wr_en = 0, y_buf_addr = 000000c8, y_buf_data = 00000000
At time             10859000, done_intr_o = 0, done_led_o = 0, y_buf_en = 1, y_buf_wr_en = 1, y_buf_addr = 000000c8, y_buf_data = 00000436
At time             10861000, done_intr_o = 0, done_led_o = 0, y_buf_en = 1, y_buf_wr_en = 1, y_buf_addr = 000000cc, y_buf_data = fffffffc
At time             10863000, done_intr_o = 0, done_led_o = 0, y_buf_en = 1, y_buf_wr_en = 1, y_buf_addr = 000000d0, y_buf_data = 000005cd
At time             10865000, done_intr_o = 0, done_led_o = 0, y_buf_en = 1, y_buf_wr_en = 1, y_buf_addr = 000000d4, y_buf_data = 000001ec
At time             10867000, done_intr_o = 0, done_led_o = 0, y_buf_en = 1, y_buf_wr_en = 1, y_buf_addr = 000000d8, y_buf_data = 00001b73
At time             10869000, done_intr_o = 0, done_led_o = 0, y_buf_en = 1, y_buf_wr_en = 1, y_buf_addr = 000000dc, y_buf_data = 000001dd
At time             10871000, done_intr_o = 0, done_led_o = 0, y_buf_en = 1, y_buf_wr_en = 1, y_buf_addr = 000000e0, y_buf_data = 000000f3
At time             10873000, done_intr_o = 0, done_led_o = 0, y_buf_en = 1, y_buf_wr_en = 1, y_buf_addr = 000000e4, y_buf_data = ffffffaa
At time             10875000, done_intr_o = 0, done_led_o = 0, y_buf_en = 1, y_buf_wr_en = 1, y_buf_addr = 000000e8, y_buf_data = 0000017c
At time             10877000, done_intr_o = 0, done_led_o = 0, y_buf_en = 1, y_buf_wr_en = 1, y_buf_addr = 000000ec, y_buf_data = 00000547
At time             10879000, done_intr_o = 0, done_led_o = 0, y_buf_en = 0, y_buf_wr_en = 0, y_buf_addr = 000000ec, y_buf_data = 00000000
At time             12435000, done_intr_o = 0, done_led_o = 0, y_buf_en = 0, y_buf_wr_en = 0, y_buf_addr = 000000f0, y_buf_data = 00000000
At time             12443000, done_intr_o = 0, done_led_o = 0, y_buf_en = 1, y_buf_wr_en = 1, y_buf_addr = 000000f0, y_buf_data = ffffff79
At time             12445000, done_intr_o = 0, done_led_o = 0, y_buf_en = 1, y_buf_wr_en = 1, y_buf_addr = 000000f4, y_buf_data = 00000591
At time             12447000, done_intr_o = 0, done_led_o = 0, y_buf_en = 1, y_buf_wr_en = 1, y_buf_addr = 000000f8, y_buf_data = fffffec8
At time             12449000, done_intr_o = 0, done_led_o = 0, y_buf_en = 1, y_buf_wr_en = 1, y_buf_addr = 000000fc, y_buf_data = 000005b7
At time             12451000, done_intr_o = 0, done_led_o = 0, y_buf_en = 1, y_buf_wr_en = 1, y_buf_addr = 00000100, y_buf_data = 00000425
At time             12453000, done_intr_o = 0, done_led_o = 0, y_buf_en = 1, y_buf_wr_en = 1, y_buf_addr = 00000104, y_buf_data = 000003a7
At time             12455000, done_intr_o = 0, done_led_o = 0, y_buf_en = 1, y_buf_wr_en = 1, y_buf_addr = 00000108, y_buf_data = fffffe7f
At time             12457000, done_intr_o = 0, done_led_o = 0, y_buf_en = 1, y_buf_wr_en = 1, y_buf_addr = 0000010c, y_buf_data = 000006e4
At time             12459000, done_intr_o = 0, done_led_o = 0, y_buf_en = 1, y_buf_wr_en = 1, y_buf_addr = 00000110, y_buf_data = 0000010d
At time             12461000, done_intr_o = 0, done_led_o = 0, y_buf_en = 1, y_buf_wr_en = 1, y_buf_addr = 00000114, y_buf_data = 00000eb8
At time             12463000, done_intr_o = 0, done_led_o = 0, y_buf_en = 0, y_buf_wr_en = 0, y_buf_addr = 00000114, y_buf_data = 00000000
At time             14019000, done_intr_o = 0, done_led_o = 0, y_buf_en = 0, y_buf_wr_en = 0, y_buf_addr = 00000118, y_buf_data = 00000000
At time             14027000, done_intr_o = 0, done_led_o = 0, y_buf_en = 1, y_buf_wr_en = 1, y_buf_addr = 00000118, y_buf_data = 00000544
At time             14029000, done_intr_o = 0, done_led_o = 0, y_buf_en = 1, y_buf_wr_en = 1, y_buf_addr = 0000011c, y_buf_data = fffffea8
At time             14031000, done_intr_o = 0, done_led_o = 0, y_buf_en = 1, y_buf_wr_en = 1, y_buf_addr = 00000120, y_buf_data = 00000a35
At time             14033000, done_intr_o = 0, done_led_o = 0, y_buf_en = 1, y_buf_wr_en = 1, y_buf_addr = 00000124, y_buf_data = fffff985
At time             14035000, done_intr_o = 0, done_led_o = 0, y_buf_en = 1, y_buf_wr_en = 1, y_buf_addr = 00000128, y_buf_data = fffffb7f
At time             14037000, done_intr_o = 0, done_led_o = 0, y_buf_en = 1, y_buf_wr_en = 1, y_buf_addr = 0000012c, y_buf_data = 0000059b
At time             14039000, done_intr_o = 0, done_led_o = 0, y_buf_en = 1, y_buf_wr_en = 1, y_buf_addr = 00000130, y_buf_data = 0000120e
At time             14041000, done_intr_o = 0, done_led_o = 0, y_buf_en = 1, y_buf_wr_en = 1, y_buf_addr = 00000134, y_buf_data = 00000098
At time             14043000, done_intr_o = 0, done_led_o = 0, y_buf_en = 1, y_buf_wr_en = 1, y_buf_addr = 00000138, y_buf_data = 000003fc
At time             14045000, done_intr_o = 0, done_led_o = 0, y_buf_en = 1, y_buf_wr_en = 1, y_buf_addr = 0000013c, y_buf_data = 000004e6
At time             14047000, done_intr_o = 0, done_led_o = 0, y_buf_en = 0, y_buf_wr_en = 0, y_buf_addr = 0000013c, y_buf_data = 00000000
At time             15603000, done_intr_o = 0, done_led_o = 0, y_buf_en = 0, y_buf_wr_en = 0, y_buf_addr = 00000140, y_buf_data = 00000000
At time             15611000, done_intr_o = 0, done_led_o = 0, y_buf_en = 1, y_buf_wr_en = 1, y_buf_addr = 00000140, y_buf_data = 00000202
At time             15613000, done_intr_o = 0, done_led_o = 0, y_buf_en = 1, y_buf_wr_en = 1, y_buf_addr = 00000144, y_buf_data = fffffe9a
At time             15615000, done_intr_o = 0, done_led_o = 0, y_buf_en = 1, y_buf_wr_en = 1, y_buf_addr = 00000148, y_buf_data = ffffff43
At time             15617000, done_intr_o = 0, done_led_o = 0, y_buf_en = 1, y_buf_wr_en = 1, y_buf_addr = 0000014c, y_buf_data = fffffc12
At time             15619000, done_intr_o = 0, done_led_o = 0, y_buf_en = 1, y_buf_wr_en = 1, y_buf_addr = 00000150, y_buf_data = 00000664
At time             15621000, done_intr_o = 0, done_led_o = 0, y_buf_en = 1, y_buf_wr_en = 1, y_buf_addr = 00000154, y_buf_data = ffffffa5
At time             15623000, done_intr_o = 0, done_led_o = 0, y_buf_en = 1, y_buf_wr_en = 1, y_buf_addr = 00000158, y_buf_data = 00000033
At time             15625000, done_intr_o = 0, done_led_o = 0, y_buf_en = 1, y_buf_wr_en = 1, y_buf_addr = 0000015c, y_buf_data = 0000027f
At time             15627000, done_intr_o = 0, done_led_o = 0, y_buf_en = 1, y_buf_wr_en = 1, y_buf_addr = 00000160, y_buf_data = 000001e9
At time             15629000, done_intr_o = 0, done_led_o = 0, y_buf_en = 1, y_buf_wr_en = 1, y_buf_addr = 00000164, y_buf_data = 000022ee
At time             15631000, done_intr_o = 0, done_led_o = 0, y_buf_en = 0, y_buf_wr_en = 0, y_buf_addr = 00000164, y_buf_data = 00000000
At time             17187000, done_intr_o = 0, done_led_o = 0, y_buf_en = 0, y_buf_wr_en = 0, y_buf_addr = 00000168, y_buf_data = 00000000
At time             17195000, done_intr_o = 0, done_led_o = 0, y_buf_en = 1, y_buf_wr_en = 1, y_buf_addr = 00000168, y_buf_data = 000021bf
At time             17197000, done_intr_o = 0, done_led_o = 0, y_buf_en = 1, y_buf_wr_en = 1, y_buf_addr = 0000016c, y_buf_data = 0000002e
At time             17199000, done_intr_o = 0, done_led_o = 0, y_buf_en = 1, y_buf_wr_en = 1, y_buf_addr = 00000170, y_buf_data = 00000052
At time             17201000, done_intr_o = 0, done_led_o = 0, y_buf_en = 1, y_buf_wr_en = 1, y_buf_addr = 00000174, y_buf_data = 00000028
At time             17203000, done_intr_o = 0, done_led_o = 0, y_buf_en = 1, y_buf_wr_en = 1, y_buf_addr = 00000178, y_buf_data = ffffff2c
At time             17205000, done_intr_o = 0, done_led_o = 0, y_buf_en = 1, y_buf_wr_en = 1, y_buf_addr = 0000017c, y_buf_data = 00000094
At time             17207000, done_intr_o = 0, done_led_o = 0, y_buf_en = 1, y_buf_wr_en = 1, y_buf_addr = 00000180, y_buf_data = ffffffd2
At time             17209000, done_intr_o = 0, done_led_o = 0, y_buf_en = 1, y_buf_wr_en = 1, y_buf_addr = 00000184, y_buf_data = ffffff7f
At time             17211000, done_intr_o = 0, done_led_o = 0, y_buf_en = 1, y_buf_wr_en = 1, y_buf_addr = 00000188, y_buf_data = 00000065
At time             17213000, done_intr_o = 0, done_led_o = 0, y_buf_en = 1, y_buf_wr_en = 1, y_buf_addr = 0000018c, y_buf_data = 0000022c
At time             17215000, done_intr_o = 1, done_led_o = 1, y_buf_en = 0, y_buf_wr_en = 0, y_buf_addr = 0000018c, y_buf_data = 00000000
At time             17231000, done_intr_o = 0, done_led_o = 1, y_buf_en = 0, y_buf_wr_en = 0, y_buf_addr = 0000018c, y_buf_data = 00000000
